,Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1880,7,X025,P.S. 25 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,Scope,Complete,5/20/15,10/5/15,8/25/15,200688,77680,77425,"DSF: 0000817176, 0000817177, 0000823600, 0000843682"
1881,7,X025,P.S. 25 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,Design,Complete,10/9/15,3/16/16,3/8/16,787360,248268,246756,"DSF: 0000817176, 0000817177, 0000823600, 0000843682"
1882,7,X025,P.S. 25 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,Construction,In-Progress,10/17/16,4/4/19,,13381568,12172058,7172591,"DSF: 0000817176, 0000817177, 0000823600, 0000843682"
1883,7,X025,P.S. 25 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,"CM, F&E",In-Progress,10/17/16,4/4/19,,1136640,571481,569254,"DSF: 0000817176, 0000817177, 0000823600, 0000843682"
1884,7,X025,P.S. 25 - BRONX,SCA IEH,"IEH PO18-RMS 208,303,411",Construction,Complete,5/25/17,IEH,8/5/17,IEH,112779,5058,DSF: 0000046971
1885,7,X025,P.S. 25 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,4/27/17,DOEL,8/9/17,DOEL,414,414,DSF:
1886,7,X027,P.S. 27 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,4/27/17,DOEL,8/8/17,DOEL,532,532,DSF:
1887,7,X029,P.S. 29 - BRONX,SCA CIP,ROOFS/FLOOD ELIMINATION/EXT MASONRY/PARAPETS,Scope,Complete,8/3/16,12/20/16,3/27/17,122045,120913,107923,"DSF: 0000839245, 0000861188, 0000861189, 0000866287"
1888,7,X029,P.S. 29 - BRONX,SCA CIP,ROOFS/FLOOD ELIMINATION/EXT MASONRY/PARAPETS,Design,Complete,5/24/17,10/25/17,10/10/17,474817,277308,264181,"DSF: 0000839245, 0000861188, 0000861189, 0000866287"
1889,7,X029,P.S. 29 - BRONX,SCA CIP,ROOFS/FLOOD ELIMINATION/EXT MASONRY/PARAPETS,Construction,PNS,PNS,PNS,PNS,7428326,6860096,59136,"DSF: 0000839245, 0000861188, 0000861189, 0000866287"
1890,7,X029,P.S. 29 - BRONX,SCA CIP,ROOFS/FLOOD ELIMINATION/EXT MASONRY/PARAPETS,"CM, F&E",PNS,PNS,PNS,PNS,743251,40888,40888,"DSF: 0000839245, 0000861188, 0000861189, 0000866287"
1891,7,X029,P.S. 29 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866343
1892,7,X029,P.S. 29 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,45000,45000,0,DSF: 0000866343
1893,7,X029,P.S. 29 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,660000,660000,0,DSF: 0000866343
1894,7,X029,P.S. 29 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,45000,45000,0,DSF: 0000866343
1895,7,X030,P.S. 30 - BRONX,SCA IEH,IEH PO18-CLASSROOM 303,Construction,Complete,5/8/17,IEH,7/9/17,IEH,39192,3864,DSF: 0000046594
1896,7,X030,P.S. 30 - BRONX,SCA IEH,IEH PO18-AMERICAN DREAM SCHOOL'S MAIN OFFICE RM 42,Construction,Complete,8/10/17,IEH,11/12/17,IEH,35239,7984,DSF: 0000048111
1897,7,X030,P.S. 30 - BRONX,SCA IEH,"IEH PO18-HOUSE UNIT FAN RM, RM 224",Construction,Complete,10/19/17,IEH,11/2/17,IEH,850,850,DSF: 0000049026
1898,7,X030,P.S. 30 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/17,1/15/18,7/12/17,60000,59215,59215,DSF: 0000845277
1899,7,X040,YOUNG LEADERS ELEM - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,34,34,DSF: 0000867347
1900,7,X040,YOUNG LEADERS ELEM - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,30000,29966,137,DSF: 0000867347
1901,7,X040,YOUNG LEADERS ELEM - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867347
1902,7,X040,YOUNG LEADERS ELEM - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867347
1903,7,X040,P.S. 179 - BRONX,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/13/17,8/15/17,8/10/17,0,716,716,DSF: 0000844859
1904,7,X040,P.S. 179 - BRONX,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Design,Complete,8/11/17,11/16/17,10/25/17,27000,2859,2859,DSF: 0000844859
1905,7,X040,P.S. 179 - BRONX,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,396000,396000,929,DSF: 0000844859
1906,7,X040,P.S. 179 - BRONX,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,27000,27000,3040,DSF: 0000844859
1907,7,X040,P.S. 179 - BRONX,SCA IEH,IEH PO18-2ND FL STAIRCASE B,Construction,Complete,5/30/17,IEH,7/11/17,IEH,17275,2924,DSF: 0000047007
1908,7,X040,P.S. 179 - BRONX,SCA IEH,IEH PO18-MAIN OFFICE RM 116,Construction,Complete,6/6/17,IEH,7/29/17,IEH,31813,5346,DSF: 0000047145
1909,7,X043,P.S. 43 - BRONX,SCA CIP,WATER PENETRATION/REINFORCING SUPPORT/EXT MASONRY,Scope,Complete,10/27/15,3/16/16,6/24/16,149925,304292,292456,"DSF: 0000817455, 0000861382, 0000861385"
1910,7,X043,P.S. 43 - BRONX,SCA CIP,WATER PENETRATION/REINFORCING SUPPORT/EXT MASONRY,Design,In-Progress,4/26/17,9/26/17,,599696,602642,212370,"DSF: 0000817455, 0000861382, 0000861385"
1911,7,X043,P.S. 43 - BRONX,SCA CIP,WATER PENETRATION/REINFORCING SUPPORT/EXT MASONRY,Construction,PNS,PNS,PNS,PNS,11244315,11244315,84576,"DSF: 0000817455, 0000861382, 0000861385"
1912,7,X043,P.S. 43 - BRONX,SCA CIP,WATER PENETRATION/REINFORCING SUPPORT/EXT MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,699645,699645,34662,"DSF: 0000817455, 0000861382, 0000861385"
1913,7,X043,P.S. 43 - BRONX,SCA CIP,BOILER REPLACEMENT/CLIMATE CONTROL/DOMESTIC PIPING,Scope,Complete,9/13/16,2/16/17,2/27/17,118636,118479,118479,"DSF: 0000839445, 0000861379, 0000861387"
1914,7,X043,P.S. 43 - BRONX,SCA CIP,BOILER REPLACEMENT/CLIMATE CONTROL/DOMESTIC PIPING,Design,In-Progress,4/26/17,9/26/17,,465448,465448,157407,"DSF: 0000839445, 0000861379, 0000861387"
1915,7,X043,P.S. 43 - BRONX,SCA CIP,BOILER REPLACEMENT/CLIMATE CONTROL/DOMESTIC PIPING,Construction,PNS,PNS,PNS,PNS,7910559,7910559,5607,"DSF: 0000839445, 0000861379, 0000861387"
1916,7,X043,P.S. 43 - BRONX,SCA CIP,BOILER REPLACEMENT/CLIMATE CONTROL/DOMESTIC PIPING,"CM, F&E",PNS,PNS,PNS,PNS,671917,671917,11024,"DSF: 0000839445, 0000861379, 0000861387"
1917,7,X043,P.S. 43 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/21/17,7/21/17,9/29/17,60000,59544,59544,DSF: 0000845278
1918,7,X043,P.S. 43 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,4/27/17,DOEL,,DOEL,800,0,DSF:
1919,7,X049,P.S. 49 - BRONX,SCA IEH,IEH PO18-GYM,Construction,Complete,8/22/16,IEH,7/2/17,IEH,89220,8529,DSF: 0000042548
1920,7,X049,P.S. 49 - BRONX,SCA IEH,IEH PO18-FL TILE ADJACENT TO MAIN ENTRANCE 1ST FL,Construction,In-Progress,10/10/17,IEH,,IEH,37752,952,DSF: 0000048930
1921,7,X065,P.S. 65 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Scope,Complete,1/15/16,5/17/16,4/20/16,0,13447,9594,DSF: 0000822351
1922,7,X065,P.S. 65 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,60000,46553,29519,DSF: 0000822351
1923,7,X065,P.S. 65 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,880000,880000,7185,DSF: 0000822351
1924,7,X065,P.S. 65 - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,60000,60000,4671,DSF: 0000822351
1925,7,X065,P.S. 65 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,4/27/17,DOEL,8/9/17,DOEL,437,437,DSF:
1926,7,X139,I.S. 224 - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,9/12/17,1/11/18,10/2/17,6017,4350,4350,DSF: 0000867073
1927,7,X139,I.S. 224 - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,10/2/17,4/2/18,,22061,22061,13535,DSF: 0000867073
1928,7,X139,I.S. 224 - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,233648,233648,3364,DSF: 0000867073
1929,7,X139,I.S. 224 - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,105813,105813,3774,DSF: 0000867073
1930,7,X139,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/21/17,8/21/17,8/10/17,0,1117,1117,DSF: 0000822898
1931,7,X139,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,Complete,8/11/17,11/16/17,11/15/17,27000,4466,4466,DSF: 0000822898
1932,7,X139,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,396000,396000,1135,DSF: 0000822898
1933,7,X139,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,27000,27000,4308,DSF: 0000822898
1934,7,X139,I.S. 224 - BRONX,SCA IEH,IEH PO18-RM 160,Construction,In-Progress,10/20/17,IEH,,IEH,10342,844,DSF: 0000049045
1935,7,X139,I.S. 224 - BRONX,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEM,Purch & Install,Complete,7/1/17,6/30/18,7/19/17,DIIX,321790,321790,DSF: 0000867091
1936,7,X139,I.S. 224 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/7/17,DOES,,DOES,340000,1626,DSF: 0000866074
1937,7,X149,THE LABORATORY SCHL OF FINANCE,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PARTITIONING,Scope,Complete,1/13/16,5/13/16,10/5/16,0,20600,20600,DSF: 0000822353
1938,7,X149,THE LABORATORY SCHL OF FINANCE,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PARTITIONING,Design,In-Progress,4/12/17,9/12/17,,15000,38698,4779,DSF: 0000822353
1939,7,X149,THE LABORATORY SCHL OF FINANCE,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PARTITIONING,Construction,PNS,PNS,PNS,PNS,220000,220000,5580,DSF: 0000822353
1940,7,X149,THE LABORATORY SCHL OF FINANCE,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,15000,15000,5295,DSF: 0000822353
1941,7,X149,I.S. 221 - BRONX,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867218
1942,7,X149,I.S. 221 - BRONX,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867218
1943,7,X149,I.S. 221 - BRONX,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867218
1944,7,X149,I.S. 221 - BRONX,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867218
1945,7,X149,I.S. 221 - BRONX,SCA IEH,IEH PO18-2ND FL FAN RM,Construction,In-Progress,10/17/17,IEH,,IEH,1524,1024,DSF: 0000049005
1946,7,X151,I.S. 151 - BRONX,SCA CIP,STH SBHC,Scope,Complete,11/8/16,3/7/17,3/8/17,32055,32399,32399,DSF: 0000865721
1947,7,X151,I.S. 151 - BRONX,SCA CIP,STH SBHC,Design,Complete,3/8/17,6/15/17,5/15/17,128220,101842,3407,DSF: 0000865721
1948,7,X151,I.S. 151 - BRONX,SCA CIP,STH SBHC,Construction,In-Progress,7/24/17,1/14/19,,2404125,2164494,326676,DSF: 0000865721
1949,7,X151,I.S. 151 - BRONX,SCA CIP,STH SBHC,"CM, F&E",In-Progress,7/24/17,1/14/19,,149590,81059,80879,DSF: 0000865721
1950,7,X156,CONCOURSE VILLAGE ELEMENTARY S,SCA IEH,IEH PO18-RM 356 AROUND SINK & CLOSET,Construction,Complete,4/24/17,IEH,7/26/17,IEH,738,738,DSF: 0000046371
1951,7,X157,P.S. 157- BRONX,SCA CIP,ROOFS,Scope,In-Progress,9/19/17,2/7/18,,75000,75000,12103,DSF: 0000863394
1952,7,X157,P.S. 157- BRONX,SCA CIP,ROOFS,Design,PNS,PNS,PNS,PNS,300000,300000,48411,DSF: 0000863394
1953,7,X157,P.S. 157- BRONX,SCA CIP,ROOFS,Construction,PNS,PNS,PNS,PNS,5625000,5625000,0,DSF: 0000863394
1954,7,X157,P.S. 157- BRONX,SCA CIP,ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,350000,350000,3294,DSF: 0000863394
1955,7,X157,P.S. 157- BRONX,SCA IEH,IEH PO18-PRINCIPALS OFFICE RM 115,Construction,Complete,5/17/17,IEH,7/8/17,IEH,22448,4250,DSF: 0000046825
1956,7,X157,P.S. 157- BRONX,SCA IEH,IEH PO18-RMS 309 & 315,Construction,Complete,8/14/17,IEH,11/18/17,IEH,68103,2970,DSF: 0000048165
1957,7,X157,P.S. 157- BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/7/17,DOES,,DOES,85000,1565,DSF: 0000866075
1958,7,X161,P.S. 161 - BRONX,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/21/17,8/21/17,8/10/17,0,1032,1032,DSF: 0000822895
1959,7,X161,P.S. 161 - BRONX,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,Complete,8/11/17,11/16/17,11/15/17,15000,4130,4130,DSF: 0000822895
1960,7,X161,P.S. 161 - BRONX,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,220000,220000,6054,DSF: 0000822895
1961,13,K085,K753 SPED - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,Complete,7/9/14,12/10/14,8/20/14,72405,50968,50968,"DSF: 0000779005, 0000798249"
1962,13,K085,K753 SPED - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,Complete,9/2/14,2/5/15,11/2/15,289620,95263,79617,"DSF: 0000779005, 0000798249"
1963,13,K085,K753 SPED - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,In-Progress,4/17/17,10/8/18,,5430376,5034272,85593,"DSF: 0000779005, 0000798249"
1964,13,K085,K753 SPED - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,4/17/17,10/8/18,,337890,219999,216931,"DSF: 0000779005, 0000798249"
1965,13,K085,K753 SPED - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,1/24/17,F&E,7/11/17,150000,150000,149895,DSF: 0000844306
1966,13,K085,K753 SPED - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,6/30/14,,DIIT,280441,0,DSF: 0000776718
1967,13,K085,K753 SPED - BROOKLYN,DOE- RESOA,FY15 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,250000,250000,0,DSF: 0000800374
1968,13,K093,I.S. 266 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866684
1969,13,K093,I.S. 266 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866684
1970,13,K093,I.S. 266 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000866684
1971,13,K093,I.S. 266 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866684
1972,13,K093,P.S. 93 - BROOKLYN,SCA IEH,"IEH PO18-NURSE COMPLEX ROOM B5,BASEMENT LANDING ST",Construction,In-Progress,4/21/17,IEH,,IEH,79623,7516,DSF: 0000046349
1973,13,K093,I.S. 266 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/17,1/15/18,9/26/17,35000,34735,34735,DSF: 0000845207
1974,13,K113,I.S. 113 - BROOKLYN,SCA IEH,"IEH PO18-ROOMS B10,B8,B12,B26,B34, B32",Construction,Complete,1/3/17,IEH,9/24/17,IEH,126382,5322,DSF: 0000044789
1975,13,K113,I.S. 113 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,263220,0,DSF: 0000776736
1976,13,K113,K372 SPED - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/19/17,7/19/17,10/16/17,35000,34738,34738,DSF: 0000845226
1977,13,K117,BKLYN HS FOR LEADERSHIP & COMM,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,98645,0,DSF: 0000776741
1978,13,K117,M.S. 596 PEACE ACADEMY - K,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,98645,0,DSF: 0000776740
1979,13,K117,BROOKLYN COMMUNITY ARTS & MEDI,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,98645,0,DSF: 0000776739
1980,13,K256,COMMUNITY PARTNERSHIP CHARTER,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/11/17,1/15/18,8/8/17,100000,99242,99242,DSF: 0000844256
1981,13,K258,K140 SPED - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM,Scope,Complete,6/29/16,9/28/16,8/12/16,26040,9288,9288,DSF: 0000827557
1982,13,K258,K140 SPED - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM,Design,Complete,10/3/16,3/9/17,4/12/17,95480,37217,37217,DSF: 0000827557
1983,13,K258,K140 SPED - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM,Construction,In-Progress,7/12/17,5/7/18,,1011220,924976,183531,DSF: 0000827557
1984,13,K258,K140 SPED - BROOKLYN,SCA CIP,PUBLIC ADDRESS SYSTEM,"CM, F&E",In-Progress,7/12/17,5/7/18,,234360,18434,18434,DSF: 0000827557
1985,13,K258,ALC - MS 258,SCA IEH,"IEH PO18-RM 235, 207, 203, 202",Construction,In-Progress,4/5/17,IEH,,IEH,85333,4452,DSF: 0000046106
1986,13,K258,LEADERSHIP PREP CHARTER - K,SCA IEH,IEH PO18-CEILING IN BASEMENT HALLWAY,Construction,Complete,11/2/17,IEH,11/5/17,IEH,13994,1770,DSF: 0000049228
1987,13,K258,K140 SPED - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,236757,0,DSF: 0000776862
1988,13,K265,I.S. 265 -BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,Complete,6/30/14,12/2/14,8/26/14,80391,80231,80231,"DSF: 0000782007, 0000798255"
1989,13,K265,I.S. 265 -BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,Complete,8/29/14,2/4/15,1/9/15,321564,224482,224182,"DSF: 0000782007, 0000798255"
1990,13,K265,I.S. 265 -BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,In-Progress,7/11/16,10/3/17,,6029326,5713463,4693426,"DSF: 0000782007, 0000798255"
1991,13,K265,I.S. 265 -BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,7/11/16,10/3/17,,375158,277051,276913,"DSF: 0000782007, 0000798255"
1992,13,K265,I.S. 265 - BROOKLYN,SCA IEH,IEH PO18-ENTIRE BASEMENT FLOOR,Construction,In-Progress,9/20/17,IEH,,IEH,10872,772,DSF: 0000048667
1993,13,K265,I.S. 265 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,282941,0,DSF: 0000776870
1994,13,K270,COMMUNITY PARTNERSHIP CHARTER,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/28/17,1/15/18,7/20/17,100000,99242,99242,DSF: 0000844255
1995,13,K282,P.S. 282 - BROOKLYN,SCA IEH,"IEH PO18-RMS 320, 327, 324,326,325,322",Construction,Complete,3/6/17,IEH,7/30/17,IEH,114688,6146,DSF: 0000045527
1996,13,K282,P.S. 282 - BROOKLYN,SCA IEH,IEH PO18-FEED WATER LINE & THE AREA AROND THE FEED,Construction,Complete,12/1/17,IEH,12/2/17,IEH,16672,2618,DSF: 0000049645
1997,13,K282,P.S. 282 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/17,1/15/18,7/6/17,75000,74436,74436,DSF: 0000844308
1998,13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,Scope,In-Progress,12/18/17,5/4/18,,92553,92553,0,"DSF: 0000872577, 0000872578, 0000872579"
1999,13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,Design,PNS,PNS,PNS,PNS,370211,370211,0,"DSF: 0000872577, 0000872578, 0000872579"
2000,13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,6941458,6941458,0,"DSF: 0000872577, 0000872578, 0000872579"
2001,13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS/PARAPETS/EXTERIOR MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,431913,431913,0,"DSF: 0000872577, 0000872578, 0000872579"
2002,13,K287,P.S. 287 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,29437,0,DSF: 0000776890
2003,13,K305,P.S. 305 - BROOKLYN,SCA IEH,IEH PO18-HALLWAY OUTSIDE THE AUDITORIUM,Construction,Complete,9/15/17,IEH,9/23/17,IEH,112133,10324,DSF: 0000048649
2004,13,K305,P.S. 305 - BROOKLYN,SCA IEH,IEH PO18-1ST FL HALLWAY LEADING TO EXIT 5,Construction,Complete,10/17/17,IEH,12/3/17,IEH,21194,4588,DSF: 0000049009
2005,13,K305,P.S. 305 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,1/25/17,F&E,10/5/17,100000,100000,99895,DSF: 0000844354
2006,13,K307,P.S. 307 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Scope,Complete,1/27/17,5/30/17,3/2/17,0,9257,9257,DSF: 0000844993
2007,13,K307,P.S. 307 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Design,Complete,3/7/17,10/25/17,5/16/17,22084,38117,34089,DSF: 0000844993
2008,13,K307,P.S. 307 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Construction,In-Progress,6/30/17,1/25/18,,323901,260221,0,DSF: 0000844993
2009,13,K307,P.S. 307 - BROOKLYN,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,"CM, F&E",In-Progress,6/30/17,1/25/18,,72635,80395,20911,DSF: 0000844993
2010,13,K307,P.S. 307 - BROOKLYN,SCA IEH,IEH PO18-RM 355,Construction,Complete,5/12/17,IEH,7/9/17,IEH,29363,1812,DSF: 0000046726
2011,13,K307,P.S. 307 - BROOKLYN,Fast Track Projects,RENOVATION OF CLASSROOM 332,Construction,In-Progress,11/20/13,FTK,,FTK,335658,329658,DSF: 0000777217
2012,13,K313,URBAN ASSEMBLY HS - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,3/21/17,DOES,,DOES,27257,27257,DSF: 0000844726
2013,13,K317,P.S. 133 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/10/17,6/30/17,6/30/17,35000,34737,34737,DSF: 0000845218
2014,13,K430,BROOKLYN TECH HS - K,SCA CIP,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS,Scope,Complete,2/28/13,5/29/13,7/24/13,77238,66703,66703,"DSF: 0000760755, 0000777292"
2015,13,K430,BROOKLYN TECH HS - K,SCA CIP,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS,Design,Complete,8/21/13,2/27/14,9/4/14,300370,399990,354172,"DSF: 0000760755, 0000777292"
